id,y_2012,y_2013,y_2014,y_2015
37081010100,259,323,389,590
37081010200,1163,1383,1173,1185
37081010300,839,819,694,721
37081010401,159,192,188,161
37081010403,115,129,161,158
37081010404,164,134,188,275
37081010500,263,310,279,299
37081010601,538,726,676,829
37081010602,1968,1766,1806,1340
37081010701,297,372,361,427
37081010702,383,452,510,666
37081010800,343,425,398,432
37081010900,677,770,924,893
37081011000,469,513,429,577
37081011101,1727,1695,1519,1542
37081011102,810,886,650,785
37081011200,2263,2047,2066,2000
37081011300,902,963,1171,1036
37081011400,2782,3034,3266,3171
37081011500,996,1138,880,828
37081011601,542,670,487,443
37081011602,1157,1173,1132,1066
37081011904,1027,1061,1143,931
37081011905,1199,1130,1442,1382
37081012503,806,902,657,429
37081012504,856,857,893,866
37081012505,118,66,84,104
37081012508,148,193,240,246
37081012509,62,81,73,63
37081012510,77,108,137,104
37081012511,81,82,120,133
37081012601,1239,1149,1300,1194
37081012604,952,1031,1006,1039
37081012607,21,77,94,86
37081012608,1091,1003,803,724
37081012609,1414,1581,1449,1782
37081012610,658,1012,917,834
37081012611,1101,1220,1355,1057
37081012612,1412,1679,1868,1365
37081012617,843,701,626,638
37081012703,884,999,678,624
37081012704,1147,1015,1088,1121
37081012705,1576,1889,1639,1371
37081012706,875,1333,1448,1353
37081012707,820,1151,1086,949
37081012803,1024,1500,1647,1616
37081012804,375,575,794,935
37081012805,470,437,440,553
37081013601,561,485,472,360
37081013602,1025,1164,1364,1036
37081013700,357,378,531,518
37081013800,1859,1802,1666,1528
37081013900,2570,2963,2843,3057
37081014000,980,1326,1601,1657
37081014200,1395,1556,1568,1858
37081014300,1531,1504,1366,1266
37081014406,380,373,386,349
37081014407,1011,999,953,1177
37081014408,736,841,682,807
37081014409,324,570,492,446
37081014410,850,851,920,935
37081014411,754,988,801,889
37081014412,97,173,191,193
37081014501,615,485,550,459
37081014502,1626,1598,1531,1655
37081014503,1365,1371,1559,1649
37081015100,332,428,487,588
37081015200,728,853,875,824
37081015300,513,665,792,736
37081015401,194,197,292,237
37081015402,1925,2764,3165,3113
37081015500,1434,1443,1274,1139
37081015600,1059,948,813,744
37081015703,369,381,487,426
37081015704,361,593,748,970
37081015705,382,455,362,397
37081015706,425,548,227,275
37081015707,523,481,485,577
37081015800,410,439,206,156
37081015901,693,561,676,697
37081015902,176,132,85,90
37081016003,172,158,147,99
37081016005,17,64,84,47
37081016006,101,152,155,168
37081016007,497,510,625,514
37081016008,415,319,307,411
37081016009,236,290,259,170
37081016010,175,208,212,215
37081016011,632,667,648,562
37081016101,431,547,492,506
37081016102,878,1025,1058,1089
37081016103,952,726,635,806
37081016201,209,154,162,200
37081016203,87,132,198,224
37081016204,97,87,70,97
37081016205,315,233,274,399
37081016303,384,318,227,286
37081016304,61,135,97,198
37081016305,101,117,140,151
37081016306,372,377,520,607
37081016405,186,254,248,235
37081016406,251,322,283,317
37081016407,400,415,288,267
37081016408,62,73,46,61
37081016409,307,235,239,220
37081016410,795,729,995,1112
37081016502,443,571,545,453
37081016503,384,369,347,536
37081016505,324,348,275,256
37081016506,341,174,212,297
37081016600,264,125,138,114
37081016701,318,589,747,949
37081016702,392,327,371,365
37081016800,1412,1435,1265,1351
37081016900,270,295,311,276
37081017000,349,310,311,308
37081017100,651,668,527,517
37081017200,286,584,686,694
37081980100,0,0,0,0
